name,nick,birth_date,height,weight,association,class,locality,country
Will Campuzano,,5/27/1986,69,125,Mohler MMA,Flyweight,"Mount Pleasant, Texas",United States
Antonio Banuelos,,9/23/1979,63,125,The Pit,Flyweight,"San Luis Obispo, California",United States
John Moraga,,3/20/1984,66,125,Arizona Combat Sports,Flyweight,"Phoenix, Arizona",United States
Shane Howell,,11/28/1983,68,125,R-1 MMA,Flyweight,"Norman, Oklahoma",United States
Wilson Reis,,1/6/1985,64,125,Brazilian Jiu-Jitsu United,Flyweight,"Januaria, Minas Gerais",Brazil
Tim Elliott,,12/24/1986,67,125,Glory MMA and Fitness,Flyweight,"Lee's Summit, Missouri",United States
Justin Scoggins,Tank,5/2/1992,67,125,,Flyweight,"Spartanburg, South Carolina",United States
Willie Gates,,1/21/1987,68,125,Pinnacle MMA,Flyweight,"Fontana, California",United States
Yasuhiro Urushitani,,9/8/1976,65,125,Tribe Tokyo MMA,Flyweight,Tokyo,Japan
Joby Sanchez,,6/24/1991,66,125,Jackson-Wink MMA,Flyweight,"Albuquerque, New Mexico",United States
Nolan Ticman,,5/17/1988,66,125,Kings MMA,Flyweight,"Palm Springs, California",United States
Zhikui Yao,The Conqueror,2/7/1991,67,125,,Flyweight,,China
Reginaldo Vieira,,,66,125,Peso Pesado Gold Team,Flyweight,"Sao Paulo, Sao Paulo",Brazil
Freddy Serrano,Bam Bam,9/22/1979,62,125,Octagon MMA Colombia,Flyweight,Bogota,Colombia
Bruno Rodrigues,Korea,,66,125,Tata Fight Team,Flyweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Kyoji Horiguchi,,10/12/1990,65,125,American Top Team,Flyweight,"Takasaki, Gunma",Japan
Tateki Matsuda,Tech,2/27/1986,67,125,Team Sityodtong,Flyweight,"Boston, Massachusetts",United States
John Lineker,Hands of Stone,6/12/1990,62,126,OCS Jiu-Jitsu,Flyweight,"Paranagua, Parana",Brazil
Chris Beal,The Real Deal,8/6/1985,67,126,KnuckleHeadz Boxing,Flyweight,"Ventura, California",United States
Dominick Cruz,The Dominator,9/3/1985,68,134,Alliance MMA,Bantamweight,"San Diego, California",United States
Julianna Pena,The Venezuelan Vixen,8/19/1989,67,134,SikJitsu,Bantamweight,"Spokane, Washington",United States
Walel Watson,The Gazelle,7/16/1984,71,134,Team Hurricane Awesome,Bantamweight,"San Diego, California",United States
Lauren Murphy,,7/27/1983,68,134,Gracie Barra Katy,Bantamweight,"Anchorage, Alaska",United States
Lauren Murphy,,7/27/1983,68,134,Gracie Barra Katy,Bantamweight,"Anchorage, Alaska",United States
Holly Holm,The Preacher's Daughter,10/17/1981,68,135,Jackson-Wink MMA,Bantamweight,"Albuquerque, New Mexico",United States
Ronda Rousey,Rowdy,2/1/1987,66,135,Team Hayastan,Bantamweight,"Santa Monica, California",United States
Marcus Brimage,The Bama Beast,4/6/1985,64,135,American Top Team,Bantamweight,"Birmingham, Alabama",United States
Marion Reneau,The Bruiser,6/20/1977,66,135,Elite Team,Bantamweight,"Visalia, California",United States
Miesha Tate,Cupcake,8/18/1986,66,135,Xtreme Couture,Bantamweight,"Tacoma, Washington",United States
Raquel Pennington,Rocky,9/5/1988,67,135,Altitude MMA,Bantamweight,"Colorado Springs, Colorado",United States
Urijah Faber,The California Kid,5/14/1979,66,135,Team Alpha Male,Bantamweight,"Sacramento, California",United States
Scott Jorgensen,Young Guns,9/17/1982,65,135,Twisted Genetiks,Bantamweight,"Boise, Idaho",United States
Robert Emerson,The Saint,7/30/1981,70,135,Team Oyama,Bantamweight,"Newport Beach, California",United States
Norifumi Yamamoto,Kid,3/15/1977,64,135,Krazy Bee,Bantamweight,"Tokyo, Kato",Japan
Cat Zingano,Alpha,7/1/1982,66,135,Zingano Brazilian Jiu-Jitsu,Bantamweight,"Broomfield, Colorado",United States
Liz Carmouche,Girl-Rilla,2/19/1984,66,135,Team Hurricane Awesome,Bantamweight,"San Diego, California",United States
Rosi Sexton,The Surgeon,7/16/1977,63,135,Next Generation,Bantamweight,Manchester,England
Julie Kedzie,Fireball,3/18/1981,65,135,Jackson-Wink MMA,Bantamweight,"Bloomington, Indiana",United States
Manny Gamburyan,The Anvil,5/8/1981,65,135,Team Hayastan,Bantamweight,"Los Angeles, California",United States
Jimmie Rivera,El Terror,6/29/1989,64,135,Team Tiger Schulmann,Bantamweight,"Ramsey, New Jersey",United States
Cody Garbrandt,No Love,7/7/1991,67,135,Strong Style Fight Team,Bantamweight,"Uhrichsville, Ohio",United States
Jumabieke Tuerxun,The Wild Wolf,4/17/1986,66,135,Xian Sports University,Bantamweight,"Xi'an, Shaanxi",China
Augusto Mendes,Tanquinho,3/3/1983,66,135,Soul Fighters BJJ,Bantamweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Alex Caceres,Bruce Leeroy,6/20/1988,69,135,MMA Lab,Bantamweight,"Miami, Florida",United States
Luke Sanders,Cool Hand,12/12/1985,67,135,The MMA Lab,Bantamweight,"Clarksville, Tennessee",United States
Mike de la Torre,El Cucuy,9/22/1986,72,135,MMA Lab,Bantamweight,"San Diego, California",United States
Thomas Almeida,Thominhas,7/31/1991,67,135,Chute Boxe,Bantamweight,"Sao Paulo, Sao Paulo",Brazil
Renan Barao,The Baron,1/31/1987,67,135,Nova Uniao,Bantamweight,"Natal, Rio Grande do Norte",Brazil
Joe Soto,One Bad Mofo,3/22/1987,66,135,Central Valley Combat Academy,Bantamweight,"Porterville, California",United States
Danny Martinez,The Gremlin,6/14/1985,65,135,Alliance MMA,Bantamweight,"Tempe, Arizona",United States
Aljamain Sterling,Funk Master,7/31/1989,67,135,Serra-Longo Fight Team,Bantamweight,"Cortland, New York",United States
Chris Holdsworth,Holds It Down,10/14/1987,71,135,Team Alpha Male,Bantamweight,"Las Vegas, Nevada",United States
Kyung Ho Kang,Mr. Perfect,9/9/1987,69,135,Busan Team M.A.D.,Bantamweight,"Busan, Yeongnam",South Korea
Sirwan Kakai,Zohan,10/3/1989,66,135,GBG MMA,Bantamweight,Gothenburg,Sweden
Leslie Smith,The Peacemaker,8/17/1982,69,135,Cesar Gracie Fight Team,Bantamweight,"Pleasant Hill, California",United States
Samy Schiavo,The Dog,12/24/1975,,135,Bushido Academie,Bantamweight,Avignon,France
Jens Pulver,Little Evil,12/6/1974,67,135,Team Extreme,Bantamweight,"Crystal Lake, Illinois",United States
Shayna Baszler,The Queen of Spades,8/8/1980,67,135,CSW,Bantamweight,"Sioux Falls, South Dakota",United States
Mike Easton,The Hulk,1/25/1984,66,135,Alliance MMA,Bantamweight,"Temple Hills, Maryland",United States
Hugo Viana,Wolverine,9/26/1982,66,135,Champion Team,Bantamweight,"Salvador, Bahia",Brazil
Johnny Bedford,Brutal,1/6/1983,69,135,Fitness Fight Factory,Bantamweight,"Fort Worth, Texas",United States
Thomas Almeida,Thominhas,7/31/1991,67,135,Chute Boxe,Bantamweight,"Sao Paulo, Sao Paulo",Brazil
Ivan Menjivar,Pride of El Salvador,5/30/1982,66,135,Tristar Gym,Bantamweight,La Paz,El Salvador
Erik Perez,El Goyito,11/19/1989,68,135,Jackson-Wink MMA,Bantamweight,Monterrey,Mexico
Edwin Figueroa,El Feroz,7/31/1984,67,135,Mohler MMA,Bantamweight,"McKinney, Texas",United States
Jared Papazian,The Jackhammer,2/1/1988,68,135,Team Hayastan,Bantamweight,"West Hills, California",United States
Jessica Eye,Evil,7/27/1986,66,135,Strong Style Fight Team,Bantamweight,"Cleveland, Ohio",United States
Johnny Eduardo,Pretinho,8/3/1980,67,135,Nova Uniao,Bantamweight,"Duque de Caxias, Rio de Janeiro",Brazil
Ian Loveland,The Barn Owl,9/7/1983,68,135,Sports Lab,Bantamweight,"Portland, Oregon",United States
Francisco Rivera,Cisco,10/8/1981,68,135,All In MMA,Bantamweight,"Buena Park, California",United States
Roman Salazar,El Gallito,2/21/1988,67,135,Fight Ready,Bantamweight,"Scottsdale, Arizona",United States
Jerrod Sanders,J-Reazie,10/1/1980,68,135,American Top Team OKC,Bantamweight,"Oklahoma City, Oklahoma",United States
Enrique Briones,Henry Bure,,67,135,Entram Gym,Bantamweight,"Tijuana, Baja California",Mexico
Jeff Curran,Big Frog,9/2/1977,66,135,Team Curran,Bantamweight,"Crystal Lake, Illinois",United States
Sarah Moras,Cheesecake,4/30/1988,67,135,Toshido Mixed Martial Arts,Bantamweight,"Kelowna, British Columbia",Canada
Anthony Birchak,El Toro,5/16/1986,68,135,Luta Elite MMA,Bantamweight,"Tucson, Arizona",United States
Tim Gorman,The Psycho,4/29/1983,64,135,Des Moines MMA Academy,Bantamweight,"Des Moines, Iowa",United States
Yves Jabouin,Tiger,5/30/1979,66,135,Tristar Gym,Bantamweight,"Montreal, Quebec",Canada
Alex Soto,Extremo,2/15/1984,67,135,KHK MMA Team,Bantamweight,"San Diego, California",United States
Cole Escovedo,Apache Kid,8/30/1981,67,135,Pacific Martial Arts,Bantamweight,"Fresno, California",United States
Yuta Sasaki,Ulka,10/7/1989,70,135,Wajutsu Keishukai Suruga,Bantamweight,"Numazu, Shizuoka",Japan
Nick Denis,The Ninja of Love,10/11/1983,66,135,Ronin MMA,Bantamweight,"Ottawa, Ontario",Canada
Felipe Arantes,Sertanejo,2/9/1988,68,135,Chute Boxe,Bantamweight,"Sao Paulo, Sao Paulo",Brazil
Cody Gibson,The Renegade,9/11/1987,70,135,Elite Team,Bantamweight,"Visalia, California",United States
Davey Grant,Dangerous,12/18/1985,68,135,North East Top Team,Bantamweight,Bishop Auckland,England
Guangyou Ning,Smasher,12/15/1981,65,135,Tiger Muay Thai,Bantamweight,"Cangzhou, Hebei",China
Taylor Lapilus,Double Impact,4/8/1992,66,135,MMA Factory,Bantamweight,Paris,France
Patrick Williams,The Animal,9/7/1981,68,135,Freestyle Fighting Academy,Bantamweight,"Homestead, Florida",United States
Bryan Caraway,Kid Lightning,8/4/1984,69,135,Xtreme Couture,Bantamweight,"Seattle, Washington",United States
Renan Barao,The Baron,1/31/1987,67,135,Nova Uniao,Bantamweight,"Natal, Rio Grande do Norte",Brazil
Germaine de Randamie,The Iron Lady,4/24/1984,69,135,American Kickboxing Academy,Bantamweight,"Utrecht, Utrecht",Netherlands
Valentina Shevchenko,Bullet,3/7/1988,65,135,Tiger Muay Thai,Bantamweight,Lima,Peru
Aaron Phillips,The Model,8/5/1989,69,135,Gladiators Academy,Bantamweight,"Lafayette, Louisiana",United States
Guido Cannetti,Ninja,,66,135,Muay Thai Goa,Bantamweight,Buenos Aires,Argentina
Roland Delorme,Stunning,12/18/1983,69,135,Winnipeg Academy of MMA,Bantamweight,"Winnipeg, Manitoba",Canada
Alfonso Alcarez,Alfie,6/10/1970,63,135,Nickwan Kick Gym,Bantamweight,"Las Vegas, Nevada",United States
Peggy Morgan,The Daywalker,12/6/1979,73,135,Triumph MMA,Bantamweight,"Manchester, New Hampshire",United States
Pedro Munhoz,The Young Punisher,9/7/1986,66,135,Black House,Bantamweight,"Sao Paulo, Sao Paulo",Brazil
Azamat Gashimov,Tough Guy,4/7/1990,69,135,Jackson-Wink MMA,Bantamweight,Dagestan,Russia
Douglas Silva de Andrade,D'Silva,6/22/1985,67,135,Pitbull Brothers,Bantamweight,"Castanhal, Para",Brazil
Jeff Hougland,Hellbound,8/2/1978,69,135,Combat Sport and Fitness,Bantamweight,"Enumclaw, Washington",United States
Renan Barao,The Baron,1/31/1987,67,135,Nova Uniao,Bantamweight,"Natal, Rio Grande do Norte",Brazil
Marlon Vera,Chito,12/2/1992,68,135,Team Frank Vidal 5050,Bantamweight,Chone,Ecuador
Jose Alberto Quinonez,El Teco,,68,135,Delincuentes MMA,Bantamweight,"Tlaltenango de Sanchez Roman, Zacatecas",Mexico
George Roop,,11/10/1981,73,135,Apex MMA,Bantamweight,"Tucson, Arizona",United States
Masanori Kanehara,,11/18/1982,67,135,Alpha,Bantamweight,"Tachikawa, Tokyo",Japan
T.J. Dillashaw,,2/7/1986,66,135,Elevation Fight Team,Bantamweight,"Angels Camp, California",United States
Sara McMann,,9/24/1980,65,135,Revolution MMA,Bantamweight,"Gaffney, South Carolina",United States
Brian Bowles,,6/22/1980,67,135,Hardcore Gym,Bantamweight,"Athens, Georgia",United States
Rob Font,,6/25/1987,68,135,Team Sityodtong,Bantamweight,"Boston, Massachusetts",United States
Eddie Wineland,,6/26/1984,67,135,Duneland Vale Tudo,Bantamweight,"Portage, Indiana",United States
Takeya Mizugaki,,12/16/1983,67,135,Hakkei Gym,Bantamweight,"Miura, Kanagawa",Japan
Mitch Gagnon,,10/10/1984,66,135,Troop MMA,Bantamweight,"Sudbury, Ontario",Canada
Vaughan Lee,,10/15/1982,65,135,UTC Birmingham,Bantamweight,"Birmingham, West Midlands",England
Rani Yahya,,12/9/1984,66,135,Constrictor Team,Bantamweight,"Brasilia, Federal District",Brazil
Bethe Correia,Pitbull,6/22/1983,64,135,,Bantamweight,"Campina Grande, Paraiba",Brazil
Motonobu Tezuka,,8/29/1987,67,135,Cobra Kai MMA Dojo,Bantamweight,Nagano,Japan
Russell Doane,,8/13/1986,66,135,Hawaii Elite MMA,Bantamweight,"Waianae, Hawaii",United States
Nick Pace,,4/17/1987,67,135,Team Tiger Schulmann,Bantamweight,"Staten Island, New York",United States
Charlie Valencia,,10/31/1974,63,135,Millennia MMA,Bantamweight,"Los Angeles, California",United States
Jonathan Brookins,,8/13/1985,72,135,Gracie Barra Orlando,Bantamweight,"Orlando, Florida",United States
Rin Nakai,,10/22/1986,61,135,Pancrase Venus,Bantamweight,"Matsuyama, Ehime",Japan
Raphael Assuncao,,7/19/1982,65,135,Ascension MMA,Bantamweight,"Recife, Pernambuco",Brazil
Elizabeth Phillips,,8/20/1986,66,135,SikJitsu,Bantamweight,"Spokane, Washington",United States
Frankie Saenz,,8/12/1980,66,135,Trident Performance Training,Bantamweight,"Phoenix, Arizona",United States
Michinori Tanaka,,10/4/1990,65,135,Reversal Gym Yokohama Ground Slam,Bantamweight,"Yokohama, Kanagawa",Japan
Joseph Sandoval,,5/11/1986,66,135,Bighead MMA,Bantamweight,"Lubbock, Texas",United States
Joey Gomez,The KO King,7/21/1986,68,135,Team Triumph,Bantamweight,"Hollis, New Hampshire",United States
Jason Reinhardt,,10/31/1969,66,135,Wand Fight Team,Bantamweight,"Decatur, Illinois",United States
Byron Bloodworth,,8/16/1983,69,135,Iron Clutch Fitness,Bantamweight,"Atlanta, Georgia",United States
Larissa Pacheco,,9/7/1994,68,135,JB Jiu-Jitsu Team,Bantamweight,"Belem, Para",Brazil
Larissa Pacheco,,9/7/1994,68,135,JB Jiu-Jitsu Team,Bantamweight,"Belem, Para",Brazil
Mitch Gagnon,,10/10/1984,66,135,Troop MMA,Bantamweight,"Sudbury, Ontario",Canada
Dave Galera,Scarecrow,,71,135,Lakay MMA,Bantamweight,"Baguio, Cordillera Administrative Region",Philippines
Matheus Nicolau Pereira,,1/6/1993,66,135,Nova Uniao,Bantamweight,"Belo Horizonte, Minas Gerais",Brazil
Dileno Lopes,,9/26/1987,,135,Nova Uniao Manaus,Bantamweight,"Manacapuru, Amazonas",Brazil
Matt Hobar,The Crowbar,1/7/1987,70,135,Octagon MMA,Bantamweight,"Dallas, Texas",United States
Ken Stone,,10/8/1982,68,135,American Top Team,Bantamweight,"Coconut Creek, Florida",United States
Alexis Davis,Ally-Gator,10/4/1984,65,136,Cesar Gracie Fight Team,Bantamweight,"Port Colborne, Ontario",Canada
Iuri Alcantara,Marajo,8/4/1980,69,136,Marajo Brothers Team,Bantamweight,"Marajo, Para",Brazil
Dustin Kimura,The Diamond,5/21/1989,66,136,Gracie Technics,Bantamweight,"Honolulu, Hawaii",United States
Leandro Issa,Brodinho,9/19/1983,66,136,Evolve MMA,Bantamweight,"Ubatuba, Sao Paulo",Brazil
Amanda Nunes,Lioness,5/30/1988,65,136,American Top Team,Bantamweight,"Salvador, Bahia",Brazil
Jessamyn Duke,The Gun,6/24/1986,71,136,CSW,Bantamweight,"Richmond, Kentucky",United States
Reuben Duran,Hurricane,7/2/1983,67,136,Pinnacle Fighting Systems,Bantamweight,"Redlands, California",United States
Michael McDonald,Mayday,1/15/1991,68,136,Last Stand Fight Team,Bantamweight,"Modesto, California",United States
Alejandro Perez,El Diablito,,66,136,KB-VT Gym,Bantamweight,Aguascalientes,Mexico
Milana Dudieva,,4/8/1989,65,136,Peresvet FT,Bantamweight,"Vladikavkaz, North Ossetia",Russia
Sarah Kaufman,,9/20/1985,65,136,Zugec Ultimate Martial Arts,Bantamweight,"Victoria, British Columbia",Canada
Ashlee Evans-Smith,,7/9/1987,68,136,Reign MMA,Bantamweight,"Lake Forest, California",United States
Ashlee Evans-Smith,,7/9/1987,68,136,Reign MMA,Bantamweight,"Lake Forest, California",United States
Ian Entwistle,Enty,11/19/1986,68,136,Apex MMA,Bantamweight,Accrington,England
John Albert,Prince,10/13/1986,69,137,Victory Athletics,N/A,"Puyallup, Washington",United States
Leonardo Morales,Chimmy,12/22/1992,71,137,Gladiadores MMA,N/A,Managua,Nicaragua
Royston Wee,,11/15/1986,67,137,Impact MMA Singapore,N/A,,Singapore
Ryan Roberts,Are You Ready?,7/16/1978,66,139,Disorderly Conduct,Featherweight,"Omaha, Nebraska",United States
Jianping Yang,,1/7/1986,68,140,Fight Emperor,Featherweight,,China
Nam Phan,,3/13/1983,66,141,Nam Phan MMA Academy,Featherweight,"Garden Grove, California",United States
Din Thomas,Dinyero,9/28/1976,69,143,American Top Team,Featherweight,"Orlando, Florida",United States
Doo Ho Choi,The Korean Superboy,4/6/1991,69,143,Gumi MMA,Featherweight,"Gumi, Gyeongsangbuk-do",South Korea
Alexis Dufresne,Sneaky Zebra,8/31/1990,69,143,Team Quest,Featherweight,"Temecula, California",United States
Diego Rivas,Pitbull,11/11/1991,,143,Okinawa Dojo,Featherweight,,Chile
Andy Ogle,The Little Axe,2/16/1989,69,144,Team Kaobon,Featherweight,Sunderland,England
Douglas Evans,,10/10/1980,69,144,AK Wolfpack,Featherweight,"Anchorage, Alaska",United States
Conor McGregor,Notorious,7/14/1988,68,145,SBG Ireland,Featherweight,Dublin,Ireland
Jose Aldo,Scarface,9/9/1986,67,145,Nova Uniao,Featherweight,"Manaus, Amazonas",Brazil
Chad Mendes,Money,5/1/1985,66,145,Team Alpha Male,Featherweight,"Hanford, California",United States
Diego Brandao,DB,5/27/1987,67,145,Jackson-Wink MMA,Featherweight,"Fortaleza, Ceara",Brazil
Max Holloway,Blessed,12/4/1991,71,145,Gracie Technics,Featherweight,"Waianae, Hawaii",United States
Clay Guida,The Carpenter,12/8/1981,67,145,Jackson-Wink MMA,Featherweight,"Round Lake, Illinois",United States
Jeremy Stephens,Lil' Heathen,5/26/1986,69,145,Alliance MMA,Featherweight,"Des Moines, Iowa",United States
Chan Sung Jung,The Korean Zombie,3/17/1987,69,145,Korean Zombie MMA,Featherweight,"Gyeongju, North Gyeongsang",South Korea
